Frame,X,Y,Z
204,-2.31,-1.55,-0.0
205,-2.43,-1.88,0.02
206,-2.98,-1.7,0.02
207,-2.84,-1.92,0.02
208,-3.71,-1.69,0.02
209,-3.3,-1.94,0.02
210,-4.07,-1.2,0.04
211,-3.33,-1.48,0.04
212,-3.43,-1.42,0.04
213,-4.01,-1.38,0.05
214,-3.4,-1.23,0.05
215,-3.63,-1.35,0.05
216,-3.04,-1.36,0.05
217,-3.16,-1.52,0.05
218,-3.79,-1.47,0.06
219,-3.89,-1.91,0.06
220,-4.44,-1.78,0.07
221,-4.78,-1.81,0.08
222,-4.41,-2.06,0.1
223,-4.27,-1.88,0.1
224,-4.51,-2.05,0.09
225,-4.6,-1.93,0.11
226,-5.0,-1.86,0.11
227,-4.9,-2.04,0.12
228,-4.5,-1.61,0.1
229,-4.74,-1.79,0.1
230,-4.28,-1.47,0.09
231,-4.38,-0.81,0.09
232,-3.72,-0.44,0.06
233,-3.83,-0.23,0.07
234,-2.82,1.51,0.07
235,-2.92,1.93,0.06
236,-2.48,2.31,0.05
237,-2.72,2.53,0.04
238,-2.27,2.62,0.03
239,-2.4,2.85,0.02
240,-2.26,2.44,0.01
241,-2.78,2.83,0.02
242,-2.3,2.95,-0.03
243,-2.38,3.27,-0.01
244,-2.49,3.31,-0.0
245,-1.72,3.44,-0.01
246,-1.73,3.32,-0.02
247,-1.82,3.39,-0.02
248,-1.84,3.31,-0.03
249,-2.38,3.44,-0.04
250,-2.11,3.48,-0.05
251,-2.05,3.39,-0.08
252,-2.11,3.53,-0.05
253,-1.19,3.54,-0.07
254,-1.15,3.36,-0.06
255,-0.78,3.83,-0.07
256,-0.74,3.98,-0.07
257,-1.01,3.76,-0.07
258,-0.38,3.61,-0.08
259,-0.37,3.45,-0.07
260,0.05,3.43,-0.09
261,-0.28,3.32,-0.08
262,-0.38,3.46,-0.07
263,-0.34,3.35,-0.08
264,-0.38,3.32,-0.09
265,-0.33,3.57,-0.1
266,-0.48,3.67,-0.09
267,-0.44,3.48,-0.09
268,-0.15,3.49,-0.09
269,1.02,3.96,-0.1
270,0.61,3.36,-0.09
271,0.85,3.04,-0.09
272,0.34,3.31,-0.09
273,0.5,2.92,-0.1
274,0.2,2.81,-0.09
275,-0.42,2.42,-0.1
276,-0.06,2.87,-0.09
277,0.69,2.44,-0.09
278,0.3,2.18,-0.1
279,0.66,2.0,-0.1
280,0.93,2.05,-0.1
281,1.27,2.17,-0.09
282,1.23,2.11,-0.1
283,1.33,1.85,-0.09
284,1.2,1.86,-0.08
285,2.04,2.08,-0.1
286,1.04,2.0,-0.09
287,1.8,1.93,-0.09
288,1.61,1.93,-0.09
289,2.09,1.99,-0.09
290,1.52,1.8,-0.09
291,2.04,2.08,-0.09
292,1.83,2.23,-0.1
293,1.3,2.24,-0.1
294,1.31,2.65,-0.11
295,2.04,3.17,-0.1
296,1.69,3.03,-0.11
297,1.82,3.0,-0.1
298,1.66,3.08,-0.1
299,1.7,2.97,-0.11
300,1.91,3.07,-0.12
301,1.63,3.58,-0.1
302,1.38,3.57,-0.12
303,1.73,3.49,-0.1
304,1.54,3.69,-0.11
305,1.46,3.47,-0.13
306,1.34,3.44,-0.11
307,1.37,3.61,-0.11
308,1.44,3.56,-0.11
309,1.26,3.51,-0.11
310,1.47,3.2,-0.11
311,0.89,3.92,-0.09
312,1.27,3.8,-0.1
313,1.38,3.55,-0.11
314,1.2,3.72,-0.11
315,1.05,3.44,-0.12
316,1.44,3.4,-0.1
317,1.3,3.47,-0.12
318,1.37,3.61,-0.11
319,1.18,3.58,-0.1
320,1.05,3.41,-0.1
321,1.24,3.36,-0.1
322,1.42,3.34,-0.11
323,1.19,3.24,-0.1
324,0.96,3.33,-0.11
325,1.49,3.27,-0.1
326,1.05,3.6,-0.11
327,1.06,3.27,-0.12
